,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
2830,68.99626,68.99626,0.127067,31.282967,118.902451351436,17.3347529319421,37.713292,0.0,12.577502,12.681812,0.0,0.032634,2.362066,20200524T043659_20200524T044526_T46RBU
2831,55.255121,55.255121,0.051138,31.718099,121.206935512906,17.8492400362907,23.537022,0.0,30.127487,0.457211,0.0,0.003925,10.29542,20200524T043659_20200524T044526_T46RBV
2832,56.451846,56.451845999999996,0.164741,49.533275,115.685863960476,15.6051018999128,6.918571,93.478763,30.198723,3.644861,0.0,0.145052,0.259475,20200524T043659_20200524T044526_T46RCS
2833,69.538143,69.538143,0.049394,46.30506,118.380400398266,16.0723969108403,23.233083,70.424545,23.122741,0.570839,0.0,0.789718,0.291001,20200524T043659_20200524T044526_T46RCT
2834,81.08874,81.08874,0.284888,36.391363,120.913850334269,16.5747009169166,44.697377,46.375448,8.736999,5.653162,0.0,0.046187,0.027774,20200524T043659_20200524T044526_T46RCU
2835,66.303846,66.303846,0.132549,34.942803,123.288631112041,17.1086745703022,31.361043,22.326462,24.056962,3.325274,0.0,0.005583,1.983364,20200524T043659_20200524T044526_T46RCV
2836,98.699003,98.699003,0.0,34.997112,122.016921544407,18.654513128281,63.701892,92.236334,8.5e-05,1.295013,0.0,0.0,0.0,20200525T040549_20200525T040645_T47SLR
2837,67.168659,67.168659,0.032696,39.2984,124.078968622935,19.2004256221448,27.870259,3.627735,11.167814,18.653044,0.0,0.277763,0.00725,20200525T040549_20200525T040645_T47SLS
2838,99.999936,99.999936,0.0,15.546532,124.056798465107,17.9156263864701,84.453404,70.351231,0.0,3.4e-05,0.0,0.0,0.0,20200525T040549_20200525T040645_T47SMR
2839,78.004581,78.004581,0.014333,37.456033,126.170423215138,18.4799876134069,40.548548,0.0,8.655661,11.770578,0.0,0.084548,0.004665,20200525T040549_20200525T040645_T47SMS
2840,89.231371,89.231371,0.0,8.196508,109.629131561533,18.3154988207267,81.033689,40.949932,0.004433,10.726614,0.001174,0.0,0.006827,20200525T040549_20200525T041919_T46RGS
