,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
115,3.03,3.03,2019/1/20,47,132,39,LC08_132039_20190120
116,4.08,4.08,2019/2/5,47,132,39,LC08_132039_20190205
117,6.41,6.41,2019/2/21,47,132,39,LC08_132039_20190221
118,29.95,29.95,2019/3/9,47,132,39,LC08_132039_20190309
119,21.41,21.41,2019/3/25,47,132,39,LC08_132039_20190325
120,69.37,69.37,2019/4/10,47,132,39,LC08_132039_20190410
121,4.63,4.63,2019/4/26,47,132,39,LC08_132039_20190426
122,87.5,87.5,2019/5/12,47,132,39,LC08_132039_20190512
123,24.79,24.79,2019/5/28,47,132,39,LC08_132039_20190528
124,47.57,47.57,2019/6/13,47,132,39,LC08_132039_20190613
125,73.8,73.8,2019/6/29,47,132,39,LC08_132039_20190629
126,84.06,84.06,2019/7/15,47,132,39,LC08_132039_20190715
127,88.25,88.25,2019/7/31,47,132,39,LC08_132039_20190731
128,2.15,2.15,2019/8/16,47,132,39,LC08_132039_20190816
129,46.66,46.66,2019/9/1,47,132,39,LC08_132039_20190901
130,61.08,61.08,2019/9/17,47,132,39,LC08_132039_20190917
131,23.21,23.21,2019/10/3,47,132,39,LC08_132039_20191003
132,34.26,34.26,2019/10/19,47,132,39,LC08_132039_20191019
133,60.95,60.95,2019/11/4,47,132,39,LC08_132039_20191104
134,12.46,12.46,2019/11/20,47,132,39,LC08_132039_20191120
135,2.14,2.14,2019/12/6,47,132,39,LC08_132039_20191206
136,31.57,31.57,2019/12/22,47,132,39,LC08_132039_20191222
137,15.47,15.47,2020/1/7,47,132,39,LC08_132039_20200107
138,67.52,67.52,2020/1/23,47,132,39,LC08_132039_20200123
139,3.93,3.93,2020/2/8,47,132,39,LC08_132039_20200208
140,26.67,26.67,2020/2/24,47,132,39,LC08_132039_20200224
141,53.91,53.91,2020/3/11,47,132,39,LC08_132039_20200311
142,11.42,11.42,2020/3/27,47,132,39,LC08_132039_20200327
143,56.7,56.7,2020/4/12,47,132,39,LC08_132039_20200412
144,64.31,64.31,2020/4/28,47,132,39,LC08_132039_20200428
145,75.84,75.84,2020/5/14,47,132,39,LC08_132039_20200514
146,11.29,11.29,2020/5/30,47,132,39,LC08_132039_20200530
147,66.95,66.95,2020/6/15,47,132,39,LC08_132039_20200615
148,64.94,64.94,2020/8/2,47,132,39,LC08_132039_20200802
149,13.85,13.85,2020/9/3,47,132,39,LC08_132039_20200903
150,69.62,69.62,2020/9/19,47,132,39,LC08_132039_20200919
151,71.04,71.04,2020/10/5,47,132,39,LC08_132039_20201005
152,70.54,70.54,2020/10/21,47,132,39,LC08_132039_20201021
153,61.9,61.9,2020/11/22,47,132,39,LC08_132039_20201122
154,4.02,4.02,2020/12/8,47,132,39,LC08_132039_20201208
155,0.78,0.78,2020/12/24,47,132,39,LC08_132039_20201224
156,0.68,0.68,2021/1/9,47,132,39,LC08_132039_20210109
157,3.4,3.4,2021/1/25,47,132,39,LC08_132039_20210125
158,16.9,16.9,2021/2/10,47,132,39,LC08_132039_20210210
159,2.97,2.97,2021/2/26,47,132,39,LC08_132039_20210226
160,77.71,77.71,2021/3/14,47,132,39,LC08_132039_20210314
161,7.24,7.24,2021/3/30,47,132,39,LC08_132039_20210330
162,12.79,12.79,2021/4/15,47,132,39,LC08_132039_20210415
163,57.3,57.3,2021/5/1,47,132,39,LC08_132039_20210501
164,67.71,67.71,2021/5/17,47,132,39,LC08_132039_20210517
165,29.69,29.69,2021/6/2,47,132,39,LC08_132039_20210602
166,81.44,81.44,2021/6/18,47,132,39,LC08_132039_20210618
167,68.41,68.41,2021/7/4,47,132,39,LC08_132039_20210704
168,37.92,37.92,2021/7/20,47,132,39,LC08_132039_20210720
169,22.21,22.21,2021/8/5,47,132,39,LC08_132039_20210805
170,90.46,90.46,2021/8/21,47,132,39,LC08_132039_20210821
171,87.85,87.85,2021/9/6,47,132,39,LC08_132039_20210906
172,33.8,33.8,2021/9/22,47,132,39,LC08_132039_20210922
173,3.91,3.91,2021/10/8,47,132,39,LC08_132039_20211008
174,6.8,6.8,2021/10/24,47,132,39,LC08_132039_20211024
175,9.31,9.31,2021/11/9,47,132,39,LC08_132039_20211109
176,31.13,31.13,2021/11/25,47,132,39,LC08_132039_20211125
177,60.4,60.4,2021/12/11,47,132,39,LC08_132039_20211211
178,17.71,17.71,2021/12/27,47,132,39,LC08_132039_20211227
179,29.18,29.18,2022/1/12,47,132,39,LC08_132039_20220112
180,67.77,67.77,2022/1/28,47,132,39,LC08_132039_20220128
181,4.63,4.63,2022/2/13,47,132,39,LC08_132039_20220213
182,6.08,6.08,2022/3/1,47,132,39,LC08_132039_20220301
183,2.86,2.86,2022/3/17,47,132,39,LC08_132039_20220317
184,57.48,57.48,2022/4/2,47,132,39,LC08_132039_20220402
185,37.83,37.83,2022/5/4,47,132,39,LC08_132039_20220504
186,77.75,77.75,2022/5/20,47,132,39,LC08_132039_20220520
187,82.77,82.77,2022/6/5,47,132,39,LC08_132039_20220605
188,42.6,42.6,2022/6/21,47,132,39,LC08_132039_20220621
189,3.02,3.02,2022/7/7,47,132,39,LC08_132039_20220707
190,46.63,46.63,2022/7/23,47,132,39,LC08_132039_20220723
191,16.04,16.04,2022/8/8,47,132,39,LC08_132039_20220808
192,42.43,42.43,2022/8/24,47,132,39,LC08_132039_20220824
193,62.71,62.71,2022/9/25,47,132,39,LC08_132039_20220925
194,78.96,78.96,2022/10/11,47,132,39,LC08_132039_20221011
195,50.47,50.47,2022/10/27,47,132,39,LC08_132039_20221027
196,1.17,1.17,2022/11/12,47,132,39,LC08_132039_20221112
197,47.35,47.35,2013/4/25,47,132,40,LC08_132040_20130425
198,1.84,1.84,2013/5/27,47,132,40,LC08_132040_20130527
199,25.33,25.33,2013/6/12,47,132,40,LC08_132040_20130612
200,69.2,69.2,2013/6/28,47,132,40,LC08_132040_20130628
201,81.98,81.98,2013/7/14,47,132,40,LC08_132040_20130714
202,19.12,19.12,2013/8/15,47,132,40,LC08_132040_20130815
203,89.36,89.36,2013/8/31,47,132,40,LC08_132040_20130831
204,54.18,54.18,2013/9/16,47,132,40,LC08_132040_20130916
205,78.13,78.13,2013/10/2,47,132,40,LC08_132040_20131002
206,50.66,50.66,2013/10/18,47,132,40,LC08_132040_20131018
207,59.37,59.37,2013/11/3,47,132,40,LC08_132040_20131103
208,2.93,2.93,2013/11/19,47,132,40,LC08_132040_20131119
209,0.54,0.54,2013/12/5,47,132,40,LC08_132040_20131205
210,4.03,4.03,2013/12/21,47,132,40,LC08_132040_20131221
211,1.86,1.86,2014/1/6,47,132,40,LC08_132040_20140106
212,1.94,1.94,2014/1/22,47,132,40,LC08_132040_20140122
213,12.15,12.15,2014/2/7,47,132,40,LC08_132040_20140207
214,9.78,9.78,2014/2/23,47,132,40,LC08_132040_20140223
215,38.97,38.97,2014/3/11,47,132,40,LC08_132040_20140311
216,9.13,9.13,2014/3/27,47,132,40,LC08_132040_20140327
217,5.12,5.12,2014/4/12,47,132,40,LC08_132040_20140412
