,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
5218,0.1771,0.1771,155.300311677,33.5482646305,20181004T042701_20181004T043243_T46REQ
5219,17.8619,17.8619,155.761860125,34.3909159058,20181004T042701_20181004T043243_T46RER
5220,56.2232,56.2232,156.198800662,35.2357560282,20181004T042701_20181004T043243_T46RES
5221,57.89,57.89,156.612382888,36.0821247407,20181004T042701_20181004T043243_T46RET
5222,68.9814,68.9814,157.004730228,36.9308423037,20181004T042701_20181004T043243_T46REU
5223,92.3783,92.3783,157.376891581,37.7812631828,20181004T042701_20181004T043243_T46REV
5224,3.6897,3.6897,158.618115897,36.5875641767,20181004T042701_20181004T043243_T46RFU
5225,30.8783,30.8783,158.97867861,37.4428960786,20181004T042701_20181004T043243_T46RFV
5226,56.3299,56.3299,159.32147585,38.2989964516,20181004T042701_20181004T043243_T46SFA
5227,76.4985,76.4985,159.647883401,39.1568128467,20181004T042701_20181004T043243_T46SFB
5228,3.4028,3.4028,151.02734198,36.9374149984,20181005T035611_20181005T040053_T47RLM
5229,20.5748,20.5748,152.560714406,36.5242935663,20181005T035611_20181005T040053_T47RMM
5230,8.2422,8.2422,153.010540245,37.3526819543,20181005T035611_20181005T040053_T47RMN
5231,15.6695,15.6695,153.437520375,38.184050442,20181005T035611_20181005T040053_T47RMP
5232,27.068,27.068,153.842622241,39.0177400255,20181005T035611_20181005T040053_T47RMQ
5233,35.906,35.906,154.561302635,36.959885249,20181005T035611_20181005T040053_T47RNN
5234,53.4888,53.4888,154.979510653,37.7970824613,20181005T035611_20181005T040053_T47RNP
5235,2.115,2.115,150.504774993,35.608106827,20181006T041619_20181006T042307_T46RDQ
5236,17.8259,17.8259,151.012601681,36.4242348992,20181006T041619_20181006T042307_T46RDR
5237,10.9504,10.9504,151.494439099,37.243463479,20181006T041619_20181006T042307_T46RDS
5238,6.4965,6.4965,152.046576769,35.1807908968,20181006T041619_20181006T042307_T46REQ
5239,38.6657,38.6657,152.5447711,36.0037081965,20181006T041619_20181006T042307_T46RER
5240,77.5619,77.5619,153.017771604,36.8294105653,20181006T041619_20181006T042307_T46RES
